forward_time,Tcc,Topt,iter_time,strategy
40,83,25,157,1100
65,130,24,225,1100
38,123,118,284,1111
63,158,148,376,1111
117,256,198,580,1111
227,467,274,975,1111
116,219,25,365,1100
