forward_time,Tcc,Topt,iter_time,strategy
54,172,83,320,1100
4,220,83,408,1100
80,341,82,611,1100
57,313,374,751,1111
91,393,419,909,1111
176,535,615,1331,1111
423,802,976,2213,1111
